"","year","x","y","date"
"1",2014,608642,4879617,"05/08/2014"
"2",2015,602045,4890627,"29/07/2015"
"3",2016,599721,4880958,"27/09/2016"
"4",2017,602980,4877489,"16/08/2017"
"5",2017,602415,4888007,"18/08/2017"
"6",2018,610223,4875540,"11/08/2018"
"7",2018,588840,4889657,"21/08/2018"
"8",2018,602415,4888007,"21/08/2018"
"9",2018,603600,4878449,"23/08/2018"
"10",2019,602415,4888007,"18/08/2019"
"11",2019,604910,4882437,"21/08/2019"
"12",2020,600314,4880083,"03/08/2020"
"13",2020,592343,4886351,"03/08/2020"
